title,imdb_poster,imdb_place,imdb_score,filmweb_poster,filmweb_place,filmweb_score
Princess Mononoke,"http://ia.media-imdb.com/images/M/MV5BMjgzNTUwODQzN15BMl5BanBnXkFtZTcwMTc4ODE3OQ@@._V1_SX34_CR0,0,34,50_AL_.jpg",71,8.4,,,
Amélie,"http://ia.media-imdb.com/images/M/MV5BMTYzNjkxMTczOF5BMl5BanBnXkFtZTgwODg5NDc2MjE@._V1_SX34_CR0,0,34,50_AL_.jpg",72,8.4,,,
Star Wars: Episode VI - Return of the Jedi,"http://ia.media-imdb.com/images/M/MV5BMTQ0MzI1NjYwOF5BMl5BanBnXkFtZTgwODU3NDU2MTE@._V1._CR93,97,1209,1861_SX34_CR0,0,34,50_AL_.jpg",73,8.4,http://1.fwcdn.pl/po/05/47/547/7583754.4.jpg,35,8.0
Dawno temu w Ameryce,"http://ia.media-imdb.com/images/M/MV5BNDMwMDcyODkzOV5BMl5BanBnXkFtZTcwNTQ1Njg3OA@@._V1_SY50_CR0,0,34,50_AL_.jpg",74,8.4,,,
Toy Story 3,"http://ia.media-imdb.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SY50_CR0,0,34,50_AL_.jpg",75,8.4,,,
Reservoir Dogs,"http://ia.media-imdb.com/images/M/MV5BMTQxMTAwMDQ3Nl5BMl5BanBnXkFtZTcwODMwNTgzMQ@@._V1_SY50_CR0,0,34,50_AL_.jpg",76,8.3,http://1.fwcdn.pl/po/18/43/11843/6916384.4.jpg,66,7.0
A Clockwork Orange,"http://ia.media-imdb.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX34_CR0,0,34,50_AL_.jpg",77,8.3,http://1.fwcdn.pl/po/12/75/1275/7183754.4.jpg,73,7.0
Braveheart,"http://ia.media-imdb.com/images/M/MV5BNjA4ODYxMDU3Nl5BMl5BanBnXkFtZTcwMzkzMTk3OA@@._V1_SX34_CR0,0,34,50_AL_.jpg",78,8.3,http://1.fwcdn.pl/po/10/52/1052/7516612.4.jpg,28,8.0
Taxi Driver,"http://ia.media-imdb.com/images/M/MV5BMTQ1Nzg3MDQwN15BMl5BanBnXkFtZTcwNDE2NDU2MQ@@._V1_SY50_CR1,0,34,50_AL_.jpg",79,8.3,http://1.fwcdn.pl/po/10/46/1046/7463505.4.jpg,72,7.0
Double Indemnity,"http://ia.media-imdb.com/images/M/MV5BMTQzOTE4MTIzMV5BMl5BanBnXkFtZTgwODc1NDQ5MDE@._V1_SX34_CR0,0,34,50_AL_.jpg",80,8.3,,,
